fonema_leccion,word,f,fc,fv,stress,posVocal
1,About,4,2,2,2,1
1,Company,7,4,3,1,2
1,Problem,7,5,2,1,2
1,System,6,4,2,1,2
1,Important,9,6,3,2,3
1,Million,6,4,2,1,2
1,Support,5,3,2,2,1
1,Local,5,3,2,1,2
1,Open,4,2,2,1,2
1,Person,5,3,2,1,2
1,Human,6,4,2,1,2
1,Computer,8,5,3,2,"1, 3"
1,Development,11,7,4,2,"2, 4"
1,Level,5,3,2,1,2
1,Allow,4,2,2,2,1
1,Final,5,3,2,1,2
1,Capital,7,4,3,1,"2, 3"
1,Mental,6,4,2,1,2
1,Simple,6,4,2,1,2
1,Total,5,3,2,1,2
2,Business,6,4,2,1,"1, 2"
2,System,6,4,2,1,1
2,Little,5,3,2,1,1
2,Million,6,4,2,1,1
2,Building,6,4,3,1,"1,2"
2,Minute,5,3,2,1,"1, 2"
2,History,7,4,3,1,1
2,Limit,5,3,2,1,"1, 2"
2,Public,6,4,2,1,2
2,City,4,2,2,1,1
2,Music,6,4,2,1,2
2,Income,6,4,2,1,1
2,Living,5,3,2,1,"1, 2"
2,Office,5,3,2,1,2
2,Pretty,5,3,2,1,1
2,Video,5,2,3,1,1
2,Winter,5,3,2,1,1
2,Window,5,3,2,1,1
2,Simple,6,4,2,1,1
2,Ability,7,3,4,2,"2, 3"
3,Many,4,2,2,1,1
3,Very,4,2,2,1,1
3,Any,3,1,2,1,1
3,Every,5,3,2,1,1
3,Member,6,4,2,1,1
3,Better,4,2,2,1,1
3,Never,4,2,2,1,1
3,Center,5,3,2,1,1
3,Ever,3,1,2,1,1
3,Second,6,4,2,1,1
3,Level,5,3,2,1,1
3,Record (sust.),6,4,2,1,1
3,Letter,4,2,2,1,1
3,Mental,6,4,2,1,1
3,Effort,4,2,2,1,1
3,Development,11,7,4,2,2
3,President,9,6,3,1,1
3,Enter,4,2,2,1,1
3,Effect,5,3,2,2,2
3,Ready,4,2,2,1,1
4,Family,6,3,3,1,1
4,Capital,7,4,3,1,1
4,Matter,4,2,2,1,1
4,Value,5,3,2,1,1
4,Factor,6,4,2,1,1
4,Practice,7,5,2,1,1
4,Pattern,5,3,2,1,1
4,Manner,4,2,2,1,1
4,Animal,6,3,3,1,1
4,Standard,8,6,2,1,1
4,Activity,8,4,4,2,1
4,Impact,6,4,2,1,"1, 2"
4,Example,8,5,3,2,2
4,Character,7,4,3,1,1
4,Background,8,5,3,1,1
4,Contact,7,5,2,1,2
4,Annual,5,2,3,1,1
4,Planet,6,4,2,1,1
4,Happening,7,4,3,1,1
4,After,5,3,2,1,1
5,Company,7,4,3,1,1
5,Country,6,4,2,1,1
5,Number,5,3,2,1,1
5,Public,6,4,2,1,1
5,Government,9,6,3,1,1
5,Product,7,5,2,1,2
5,Money,4,2,2,1,1
5,Result,6,4,2,2,2
5,Husband,7,5,2,1,1
5,Income,6,4,2,1,2
5,Become,5,3,2,2,2
5,Summer,4,2,2,1,1
5,Couple,4,2,2,1,1
5,Sunday,5,3,2,1,1
5,Color,4,2,2,1,1
5,Double,4,2,2,1,1
5,Cover,4,2,2,1,1
5,Hundred,7,5,2,1,1
5,Comfort,6,4,2,1,1
5,Discover,7,4,3,2,2
